group,permission,description,enforcement,notes,OWNER_tagged,OWNER_api,OWNER_align,PM_tagged,PM_api,PM_align,DPM_tagged,DPM_api,DPM_align,QC_tagged,QC_api,QC_align,MECHANICAL_MANAGER_tagged,MECHANICAL_MANAGER_api,MECHANICAL_MANAGER_align,STORE_INCHARGE_tagged,STORE_INCHARGE_api,STORE_INCHARGE_align,WEIGHBRIDGE_INCHARGE_tagged,WEIGHBRIDGE_INCHARGE_api,WEIGHBRIDGE_INCHARGE_align,SITE_SUPERVISOR_tagged,SITE_SUPERVISOR_api,SITE_SUPERVISOR_align,SUPERVISOR_tagged,SUPERVISOR_api,SUPERVISOR_align,ACCOUNTANT_tagged,ACCOUNTANT_api,ACCOUNTANT_align,INVENTORY_MANAGER_tagged,INVENTORY_MANAGER_api,INVENTORY_MANAGER_align
BOQ,boq.import,Import BOQ via CSV,ROLE,BOQ_MUTATION_ROLES,YES,PASS,MATCH,YES,PASS,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH
Projects & Planning,project.view,View projects,AUTH_ONLY,List/get project: authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A
Projects & Planning,project.create,Create new projects,AUTH_ONLY,POST project: authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Projects & Planning,project.edit,"Edit project details, budget, members",MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM),YES,PARTIAL,N/A,YES,PARTIAL,N/A,YES,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A
Projects & Planning,project.delete,Soft-delete / restore projects,ROLE,requireRole OWNER,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",AUTH_ONLY,GET WBS: module gate + auth,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Projects & Planning,planning.edit,"Create / edit WBS items, tasks & dependencies",AUTH_ONLY,POST/PUT/DELETE WBS: module gate + auth (no role/permission),YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Daily Operations,report.view,View daily site reports,AUTH_ONLY,daily-report routes: auth,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Daily Operations,report.create,Submit daily site reports,AUTH_ONLY,daily-report create: auth,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Daily Operations,attendance.checkin,Geo-fenced check-in / check-out,UNGATED,No clear permission guard,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Daily Operations,attendance.view,View attendance records,UNGATED,No clear permission guard,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Procurement & Inventory,procurement.view,"View indents, POs & GRNs",PERMISSION,[route requirePermission ×5],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Procurement & Inventory,procurement.create_indent,Create material indents / requisitions,PERMISSION,[route requirePermission ×5],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Procurement & Inventory,procurement.indent_from_boq,Indent / purchase from BOQ list & shortfalls,UI_OR_SERVICE,Not on requirePermission; gated in UI / service paths via create_indent,YES,PARTIAL,N/A,YES,PARTIAL,N/A,YES,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A
Procurement & Inventory,procurement.view_rates,View expected rates & estimated amounts in indents,FIELD,Field-level; not route-guarded,YES,FIELD,N/A,YES,FIELD,N/A,YES,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,YES,FIELD,N/A
Procurement & Inventory,procurement.approve_indent,Approve material indents / requisitions,PERMISSION,[route requirePermission ×1],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Procurement & Inventory,procurement.create_direct_po,Create direct Purchase Orders without requisition,UI_OR_SERVICE,Not directly on routes as requirePermission,YES,PARTIAL,N/A,YES,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,YES,PARTIAL,N/A
Procurement & Inventory,procurement.override_rates,Override material rates during PO creation,UI_OR_SERVICE,Service/UI level,YES,PARTIAL,N/A,YES,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,YES,PARTIAL,N/A
Procurement & Inventory,procurement.approve_po,Approve purchase orders,PERMISSION,[route requirePermission ×3],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Procurement & Inventory,procurement.record_grn,Record goods receipt notes (GRN),PERMISSION,[route requirePermission ×1],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Procurement & Inventory,procurement.excess_order,Order quantities exceeding BOQ estimated limits,UI_OR_SERVICE,Not route-guarded via requirePermission,YES,PARTIAL,N/A,YES,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A,NO,PARTIAL,N/A
Procurement & Inventory,stock.view,View stock levels & movements,PERMISSION,[route requirePermission ×3],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Procurement & Inventory,stock.manage,Manage stock movements (in / out / transfer),PERMISSION,procurement stock.manage via permission; warehouse/transaction routes use requireRole OWNER/INVENTORY_MANAGER [route requirePermission ×10],YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Procurement & Inventory,stock.adjust,Perform manual stock adjustments,PERMISSION_OR_ROLE,inventory-stock uses stock.manage not stock.adjust,YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Subcontracting,subcontract.view,View subcontractor work orders,AUTH_ONLY,List likely auth-only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Subcontracting,subcontract.create_wo,Create subcontractor work orders,ROLE,Several WO mutations OWNER/PM,YES,PASS,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Subcontracting,subcontract.approve_measurement,Approve subcontractor measurements,ROLE,Approve paths OWNER/PM,YES,PASS,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Invoices (Money In),invoice.view,View client invoices,AUTH_ONLY,GET invoices: authenticate only,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A
Invoices (Money In),invoice.create,Create client invoices (Standard / RA / Milestone),ROLE,requireRole(OWNER|PM|ACCOUNTANT|INVENTORY_MANAGER),YES,PASS,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Invoices (Money In),invoice.record_payment,Record client payments,ROLE,requireRole(OWNER|ACCOUNTANT|INVENTORY_MANAGER),YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Bills (Money Out),bill.view,View vendor bills,PERMISSION,[route requirePermission ×4],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Bills (Money Out),bill.create,Create vendor bills,PERMISSION,[route requirePermission ×6],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Bills (Money Out),bill.approve,Approve vendor bills,PERMISSION,[route requirePermission ×2],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH
Bills (Money Out),bill.record_payment,Pay vendor bills,PERMISSION,[route requirePermission ×2],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Accounting Export,tally.export,Export invoices & bills to Tally XML,ROLE,accounting-export + financial-report role lists,YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Financials,financials.view_amounts,"View monetary amounts (rates, totals, payments)",FIELD,UI masking; financial report routes use role lists,YES,FIELD,N/A,YES,FIELD,N/A,YES,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,YES,FIELD,N/A,YES,FIELD,N/A
Financials,financials.view_profit,View profit margins & P&L,ROLE,P&L/cashflow requireRole,YES,PASS,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,PASS,MATCH
Financials,financials.view_budget,View project budgets & budget utilization,FIELD,Mostly UI / summary fields,YES,FIELD,N/A,YES,FIELD,N/A,YES,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,NO,FIELD,N/A,YES,FIELD,N/A,NO,FIELD,N/A
Change Orders,change_order.view,View change orders / variations,AUTH_ONLY,authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Change Orders,change_order.create,Create change orders,ROLE,requireRole(OWNER|PM),YES,PASS,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Change Orders,change_order.approve,Approve / reject change orders,ROLE,requireRole(OWNER),YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Site Petty Cash,petty_cash.view,View site petty cash & expense vouchers,AUTH_ONLY,authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A
Site Petty Cash,petty_cash.create,Log site petty cash expenses & snap receipts,ROLE,requireRole(OWNER|PM|SITE_SUPERVISOR|ACCOUNTANT),YES,PASS,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,FAIL,UNDER,NO,FAIL,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,YES,PASS,MATCH,NO,FAIL,MATCH
Site Petty Cash,petty_cash.approve,Approve / reject petty cash expense vouchers,UNGATED,No distinct approve route guard found in petty-cash.routes (mutations = create roles),YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A
Drawings & Blueprints,drawing.view,View blueprints & architectural / structural drawings,AUTH_ONLY,authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Drawings & Blueprints,drawing.upload,Upload project drawings & new revisions,ROLE,requireRole(OWNER|PM|SITE_SUPERVISOR|DPM),YES,PASS,MATCH,YES,PASS,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Drawings & Blueprints,drawing.manage,Manage drawing status & approval revisions,ROLE,Same MUT as upload,YES,PASS,MATCH,YES,PASS,MATCH,NO,PASS,OVER,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Snag List & Quality NCRs,snag.view,View snag list & defect items,AUTH_ONLY,authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Snag List & Quality NCRs,snag.create,Log new site snags & defect evidence photos,ROLE,punch-list MUT,YES,PASS,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,YES,PASS,MATCH,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH
Snag List & Quality NCRs,snag.rectify,"Rectify, update status & sign-off snags / NCRs",ROLE,Same MUT group,YES,PASS,MATCH,YES,PASS,MATCH,YES,FAIL,UNDER,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,PASS,OVER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Labor Muster & Wages,labor.view,View site gang muster & wage settlement sheets,AUTH_ONLY,authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A
Labor Muster & Wages,labor.muster_edit,Record morning gang muster & overtime hours,UNGATED,labour.routes mostly cost-tracking OWNER/PM/ACCOUNTANT,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Labor Muster & Wages,labor.wage_settle,Approve & settle weekly labor wage payouts,ROLE,labour cost-tracking roles (approx),YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH
Proposals & Portals,proposal.view,View proposals,AUTH_ONLY,authenticate only,YES,UNGATED,N/A,YES,UNGATED,N/A,YES,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A,NO,UNGATED,N/A
Proposals & Portals,proposal.create,Create & manage proposals,ROLE,proposal mutations OWNER,YES,PASS,MATCH,YES,FAIL,UNDER,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Proposals & Portals,portal.manage,Manage client & subcontractor portal access,ROLE,requireRole(OWNER|PM),YES,PASS,MATCH,YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Settings,settings.company,Edit company profile & logo,PERMISSION,[route requirePermission ×3],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
Settings,settings.users,"Manage users, invites & roles",PERMISSION,[route requirePermission ×9],YES,PASS,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH,NO,FAIL,MATCH
