group,permission,description,role,roleLabel,tagged,api,align,enforcement,notes
Estimates,estimate.approve,Approve / reject estimates,PM,Project Manager,NO,PASS,OVER,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,DPM,Deputy Project Manager,NO,PASS,OVER,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,QC,Senior QC Engineer,NO,FAIL,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,ACCOUNTANT,Accountant,NO,PASS,OVER,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.approve,Approve / reject estimates,INVENTORY_MANAGER,Inventory Manager,NO,FAIL,MATCH,ROLE,approve/reject use ESTIMATE_MUTATION_ROLES (broader than tagged estimate.approve=OWNER only)
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,OWNER,Owner / MD,YES,PASS,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,PM,Project Manager,NO,PASS,OVER,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,DPM,Deputy Project Manager,NO,PASS,OVER,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,QC,Senior QC Engineer,NO,FAIL,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,ACCOUNTANT,Accountant,NO,PASS,OVER,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.convert_boq,Convert approved estimate to BOQ,INVENTORY_MANAGER,Inventory Manager,NO,FAIL,MATCH,ROLE,convert-to-boq uses BOQ_MUTATION_ROLES
Estimates,estimate.export,Export estimates (Excel / PDF),OWNER,Owner / MD,YES,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),PM,Project Manager,YES,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),DPM,Deputy Project Manager,YES,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),QC,Senior QC Engineer,NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),MECHANICAL_MANAGER,Mechanical Manager,NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),SITE_SUPERVISOR,Site Supervisor,NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),SUPERVISOR,Site Supervisor (legacy),NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),ACCOUNTANT,Accountant,NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
Estimates,estimate.export,Export estimates (Excel / PDF),INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,UNGATED,No dedicated permission guard found
BOQ,boq.view,View Bill of Quantities,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,QC,Senior QC Engineer,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,MECHANICAL_MANAGER,Mechanical Manager,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,STORE_INCHARGE,Store Incharge,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,SITE_SUPERVISOR,Site Supervisor,YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,SUPERVISOR,Site Supervisor (legacy),YES,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view,View Bill of Quantities,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,GET BOQ: authenticate only
BOQ,boq.view_rates,View financial rates & amounts in BOQ,OWNER,Owner / MD,YES,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,PM,Project Manager,YES,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,DPM,Deputy Project Manager,YES,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,QC,Senior QC Engineer,NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,MECHANICAL_MANAGER,Mechanical Manager,NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,STORE_INCHARGE,Store Incharge,NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,SITE_SUPERVISOR,Site Supervisor,NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,SUPERVISOR,Site Supervisor (legacy),NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,ACCOUNTANT,Accountant,NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.view_rates,View financial rates & amounts in BOQ,INVENTORY_MANAGER,Inventory Manager,NO,FIELD,N/A,FIELD,Field-level / UI masking; API returns rates without this check
BOQ,boq.edit,Create / edit / delete BOQ items,OWNER,Owner / MD,YES,PASS,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,PM,Project Manager,YES,PASS,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,DPM,Deputy Project Manager,YES,PASS,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,QC,Senior QC Engineer,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,ACCOUNTANT,Accountant,NO,PASS,OVER,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.edit,Create / edit / delete BOQ items,INVENTORY_MANAGER,Inventory Manager,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),OWNER,Owner / MD,YES,PASS,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),PM,Project Manager,YES,PASS,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),DPM,Deputy Project Manager,YES,FAIL,UNDER,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),QC,Senior QC Engineer,YES,FAIL,UNDER,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),SUPERVISOR,Site Supervisor (legacy),NO,PASS,OVER,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),ACCOUNTANT,Accountant,NO,FAIL,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.record_measurement,Record BOQ measurements (executed qty),INVENTORY_MANAGER,Inventory Manager,NO,FAIL,MATCH,ROLE,SITE_SUPERVISOR not included; QC/DPM tagged but blocked
BOQ,boq.import,Import BOQ via CSV,OWNER,Owner / MD,YES,PASS,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,PM,Project Manager,YES,PASS,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,DPM,Deputy Project Manager,NO,PASS,OVER,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,QC,Senior QC Engineer,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,ACCOUNTANT,Accountant,NO,PASS,OVER,ROLE,BOQ_MUTATION_ROLES
BOQ,boq.import,Import BOQ via CSV,INVENTORY_MANAGER,Inventory Manager,NO,FAIL,MATCH,ROLE,BOQ_MUTATION_ROLES
Projects & Planning,project.view,View projects,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,QC,Senior QC Engineer,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,MECHANICAL_MANAGER,Mechanical Manager,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,STORE_INCHARGE,Store Incharge,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,SITE_SUPERVISOR,Site Supervisor,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,SUPERVISOR,Site Supervisor (legacy),YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,ACCOUNTANT,Accountant,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.view,View projects,INVENTORY_MANAGER,Inventory Manager,YES,UNGATED,N/A,AUTH_ONLY,List/get project: authenticate only
Projects & Planning,project.create,Create new projects,OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,QC,Senior QC Engineer,NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,MECHANICAL_MANAGER,Mechanical Manager,NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,SITE_SUPERVISOR,Site Supervisor,NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,SUPERVISOR,Site Supervisor (legacy),NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,ACCOUNTANT,Accountant,NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.create,Create new projects,INVENTORY_MANAGER,Inventory Manager,NO,UNGATED,N/A,AUTH_ONLY,POST project: authenticate only
Projects & Planning,project.edit,"Edit project details, budget, members",OWNER,Owner / MD,YES,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",PM,Project Manager,YES,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",DPM,Deputy Project Manager,YES,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",QC,Senior QC Engineer,NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",MECHANICAL_MANAGER,Mechanical Manager,NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",STORE_INCHARGE,Store Incharge,NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",SITE_SUPERVISOR,Site Supervisor,NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",SUPERVISOR,Site Supervisor (legacy),NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",ACCOUNTANT,Accountant,NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.edit,"Edit project details, budget, members",INVENTORY_MANAGER,Inventory Manager,NO,PARTIAL,N/A,MIXED,PUT project: auth only; members set: OWNER (and get members OWNER/PM)
Projects & Planning,project.delete,Soft-delete / restore projects,OWNER,Owner / MD,YES,PASS,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,PM,Project Manager,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,DPM,Deputy Project Manager,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,QC,Senior QC Engineer,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,MECHANICAL_MANAGER,Mechanical Manager,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,STORE_INCHARGE,Store Incharge,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,SITE_SUPERVISOR,Site Supervisor,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,SUPERVISOR,Site Supervisor (legacy),NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,ACCOUNTANT,Accountant,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,project.delete,Soft-delete / restore projects,INVENTORY_MANAGER,Inventory Manager,NO,FAIL,MATCH,ROLE,requireRole OWNER
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",OWNER,Owner / MD,YES,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",PM,Project Manager,YES,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",DPM,Deputy Project Manager,YES,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",QC,Senior QC Engineer,YES,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",MECHANICAL_MANAGER,Mechanical Manager,YES,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",STORE_INCHARGE,Store Incharge,NO,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",WEIGHBRIDGE_INCHARGE,WeighBridge Incharge,NO,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
Projects & Planning,planning.view,"View WBS, tasks & Gantt chart",SITE_SUPERVISOR,Site Supervisor,YES,UNGATED,N/A,AUTH_ONLY,GET WBS: module gate + auth
